epoch,train_loss,val_loss,train_ppl,val_ppl,is_best
1,5.624917163908575,4.582029884667706,277.24931732209325,97.71253821744328,True
2,4.094178086715125,4.052311760058506,59.99001230095816,57.530299685096054,True
3,3.5471074943064895,3.7421317460725634,34.71276526260738,42.187828112018124,True
4,3.1630169647586923,3.5684418866960264,23.641814964968145,35.461297365064326,True
5,2.877925049344512,3.4447694682388854,17.7773477642568,31.33605865714103,True
6,2.6455220814228806,3.369256456978887,14.09079970786189,29.056913958069487,True
7,2.442170006568443,3.3139864523633777,11.497964348980991,27.49451285900247,True
8,2.257993085843297,3.2807166473471003,9.563876015472053,26.594824982945113,True
9,2.0935425471065563,3.252506473939196,8.113607148473704,25.855063812571835,True
10,1.9430579023555223,3.248072130216969,6.980062719638849,25.740667396633064,True
11,1.807136790106927,3.243018570563776,6.092976961439148,25.610913534016426,True
